movement_variance,activity_normalized,spo2_variance,hrv_sdnn,desaturation_count,activity_level,hrv_rmssd,movement_entropy,hrv_ratio,hr_activity_ratio,fatigue_index
0.05552253677234288,0.5397574479485494,-0.3256720472282944,0.33455387521268454,-0.05486427998899571,0.34306337447968577,0.4263183431880551,1.3196226002098503,0.42221266108253674,-1.3698723184435821,49.8
0.023116139597804015,0.4989147486963915,-0.6560332753668249,0.07647628398083872,-0.05486427998899571,0.350602058482937,0.13942192290537178,-0.14687367098907672,0.27920369376599746,-1.307983133498895,50.08
-0.03155933013514268,0.13319013329535154,-0.37852984373049353,-0.09226675643998347,-0.05486427998899571,0.011361278336631944,0.02056483450254585,-0.832039961631201,0.42471145623624684,-0.6424680171486193,50.196
-0.02827309092417146,0.6138570750996095,0.1814324379643328,0.01691991677348963,-0.05486427998899571,0.39583416250244396,-0.12288337563879562,-0.832039961631201,-0.4600965775165675,-1.4770027287340226,50.336
-0.11215573641448909,0.543116257980642,0.8900572723215131,-0.36523343947366665,-0.05486427998899571,0.3129086384666809,-0.47125760026776814,-0.49546704692980725,-0.594128515594289,-1.37486950608922,50.676
0.1705445021849555,0.5453289674360626,0.35487208273706156,-0.23123161325713135,-0.05486427998899571,0.3279860064731833,-0.3278093901264265,0.291873164246668,-0.4540408036618922,-1.3781540128102292,50.536
0.07523168939415559,0.5797549116310822,-0.7567934499490979,-0.7424237651202105,-0.05486427998899571,0.3355246904764346,-0.9753755959073401,0.18969924371231434,-1.7145622430603986,-1.4284973856754044,51.168
0.17319574467346563,0.23372147228786028,-0.06799028928029405,0.15092174299002498,-0.05486427998899571,0.08674811836914402,0.08614115913858779,-0.020658827976054735,-0.1326578573073129,-0.8482436147630629,50.132
0.0732446876578096,0.5389090117323174,-0.5238887841114132,-0.21137949085468163,-0.05486427998899571,0.3129086384666809,-0.31961234954692125,0.3579857010630112,-0.48756965990643425,-1.3686078417398109,50.528
0.04416990130087232,0.8587437711399708,0.5332671459318974,-0.43471586788224037,-0.05486427998899571,0.6823041546259907,-0.5655235669320784,-0.7418865023361841,-0.7672138320838818,-1.7899734989992695,50.768
-0.08720937524615423,0.6158803798198186,0.5861249424340553,0.23529326320043606,-0.05486427998899571,0.4109115305089464,-0.1023907741900326,0.3579857010630112,-0.9808451598691283,-1.4798391065231957,50.316
0.11016430890595277,0.34249328749504404,-0.5172815595486703,-0.06248857283630893,-0.05486427998899571,0.18475101041140998,-0.4384694379497472,1.1934077571968285,-1.3883063741248813,-1.0500189613899265,50.644
0.232437465669715,0.5064795577736905,-0.47929001831272716,-0.02278432803140976,-0.05486427998899571,0.3732181104926907,0.08614115913858779,-1.4330630235979755,0.42249463190651854,-1.3196052684763655,50.132
0.1990265778961329,0.2983419630148935,-0.12249989192311511,-0.36523343947366665,-0.05486427998899571,0.1922896944146612,-0.28272566693914775,-1.5352369441323264,0.23448806741923214,-0.9705346038697727,50.492000000000004
